                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1062,                 3.4715,                 1.2531,                      0,                      0,                      0,                      0,                      0,                 27.009,                      0,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 1.0439,                 3.0452,                 1.1729,                      0,                      0,                      0,                      0,                      0,                 27.069,                      0,             0.00018286,             0.00018286,             0.00018286
                      3,                0.99471,                 2.5065,                  1.148,                      0,                      0,                      0,                      0,                      0,                 27.893,                      0,             0.00027327,             0.00027327,             0.00027327
                      4,                 0.9339,                 2.1942,                 1.1254,                      0,                      0,                      0,                      0,                      0,                 32.781,                      0,             0.00035873,             0.00035873,             0.00035873
                      5,                0.94883,                 1.8082,                 1.1244,                      0,                      0,                      0,                      0,                      0,                 28.776,                      0,             0.00043924,             0.00043924,             0.00043924
                      6,                0.88889,                 1.6032,                 1.1046,                      0,                      0,                      0,                      0,                      0,                 65.308,                      0,              0.0005148,              0.0005148,              0.0005148
                      7,                 0.9061,                 1.3961,                 1.1334,                      0,                      0,                      0,                      0,                      0,                  186.6,                      0,             0.00058541,             0.00058541,             0.00058541
                      8,                0.88945,                 1.2965,                 1.1257,                      0,                      0,                      0,                      0,                      0,                 143.21,                      0,             0.00065107,             0.00065107,             0.00065107
                      9,                0.93333,                 1.2819,                 1.0716,                      0,                      0,                      0,                      0,                      0,                  177.5,                      0,             0.00071178,             0.00071178,             0.00071178
                     10,                0.87278,                 1.2049,                  1.079,                      0,                      0,                      0,                      0,                      0,                  180.2,                      0,             0.00076753,             0.00076753,             0.00076753
                     11,                0.86362,                 1.1912,                 1.0671,                      0,                      0,                      0,                      0,                      0,                 145.71,                      0,             0.00081834,             0.00081834,             0.00081834
                     12,                 0.8634,                  1.194,                 1.0603,                      0,                      0,                      0,                      0,                      0,                 180.73,                      0,              0.0008642,              0.0008642,              0.0008642
                     13,                0.74696,                 1.0962,                  1.019,                      0,                      0,                      0,                      0,                      0,                 183.49,                      0,             0.00087875,             0.00087875,             0.00087875
                     14,                0.82702,                 1.0219,                 1.0647,                      0,                      0,                      0,                      0,                      0,                 236.09,                      0,             0.00084781,             0.00084781,             0.00084781
                     15,                0.78732,                 1.0773,                 1.0662,                      0,                      0,                      0,                      0,                      0,                 222.52,                      0,             0.00081688,             0.00081688,             0.00081688
                     16,                0.77481,                 1.0036,                 1.0599,                      0,                      0,                      0,                      0,                      0,                 226.78,                      0,             0.00078594,             0.00078594,             0.00078594
                     17,                0.80337,                0.96038,                 1.0732,                      0,                      0,                      0,                      0,                      0,                 200.45,                      0,               0.000755,               0.000755,               0.000755
                     18,                0.76193,                0.89639,                 1.0411,                      0,                      0,                      0,                      0,                      0,                 166.47,                      0,             0.00072406,             0.00072406,             0.00072406
                     19,                 0.7069,                0.95993,                 1.0145,                      0,                      0,                      0,                      0,                      0,                 177.27,                      0,             0.00069313,             0.00069313,             0.00069313
                     20,                0.76927,                0.99636,                 1.0831,                      0,                      0,                      0,                      0,                      0,                 218.38,                      0,             0.00066219,             0.00066219,             0.00066219
                     21,                0.73117,                  0.953,                 1.0219,                      0,                      0,                      0,                      0,                      0,                 213.89,                      0,             0.00063125,             0.00063125,             0.00063125
                     22,                0.76242,                  0.949,                 1.0489,                      0,                      0,                      0,                      0,                      0,                 217.46,                      0,             0.00060031,             0.00060031,             0.00060031
                     23,                 0.7111,                0.92423,                0.99893,                      0,                      0,                      0,                      0,                      0,                  259.7,                      0,             0.00056938,             0.00056938,             0.00056938
                     24,                 0.7635,                0.89619,                 1.0484,                      0,                      0,                      0,                      0,                      0,                 267.45,                      0,             0.00053844,             0.00053844,             0.00053844
                     25,                0.67829,                0.87657,                0.99477,                      0,                      0,                      0,                      0,                      0,                 249.28,                      0,              0.0005075,              0.0005075,              0.0005075
                     26,                0.65374,                0.84581,                 1.0041,                      0,                      0,                      0,                      0,                      0,                 253.39,                      0,             0.00047656,             0.00047656,             0.00047656
                     27,                0.64995,                0.81018,                 1.0077,                      0,                      0,                      0,                      0,                      0,                 273.28,                      0,             0.00044563,             0.00044563,             0.00044563
                     28,                0.68094,                0.82084,                 1.0054,                      0,                      0,                      0,                      0,                      0,                 295.08,                      0,             0.00041469,             0.00041469,             0.00041469
                     29,                 0.6433,                0.79433,                 1.0034,                      0,                      0,                      0,                      0,                      0,                 276.48,                      0,             0.00038375,             0.00038375,             0.00038375
                     30,                 0.6393,                0.82132,                0.98401,                      0,                      0,                      0,                      0,                      0,                 233.29,                      0,             0.00035281,             0.00035281,             0.00035281
                     31,                0.44406,                 0.7907,                0.87768,                      0,                      0,                      0,                      0,                      0,                 159.13,                      0,             0.00032188,             0.00032188,             0.00032188
                     32,                0.46282,                0.83657,                0.86724,                      0,                      0,                      0,                      0,                      0,                 139.15,                      0,             0.00029094,             0.00029094,             0.00029094
                     33,                  0.471,                0.81644,                0.85774,                      0,                      0,                      0,                      0,                      0,                  189.1,                      0,                0.00026,                0.00026,                0.00026
                     34,                0.44031,                0.71081,                0.84897,                      0,                      0,                      0,                      0,                      0,                 287.92,                      0,             0.00022906,             0.00022906,             0.00022906
                     35,                0.41049,                0.65979,                0.85684,                      0,                      0,                      0,                      0,                      0,                 348.51,                      0,             0.00019813,             0.00019813,             0.00019813
                     36,                0.46486,                0.69731,                0.84699,                      0,                      0,                      0,                      0,                      0,                 351.02,                      0,             0.00016719,             0.00016719,             0.00016719
                     37,                0.39983,                0.65158,                0.82935,                      0,                      0,                      0,                      0,                      0,                 330.12,                      0,             0.00013625,             0.00013625,             0.00013625
                     38,                0.39297,                0.63807,                0.83066,                      0,                      0,                      0,                      0,                      0,                 305.74,                      0,             0.00010531,             0.00010531,             0.00010531
                     39,                0.41225,                0.61842,                0.85487,                      0,                      0,                      0,                      0,                      0,                 298.24,                      0,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     40,                 0.4113,                0.64851,                 0.8357,                      0,                      0,                      0,                      0,                      0,                 301.55,                      0,             4.3438e-05,             4.3438e-05,             4.3438e-05
